model,type,samples,fairness_considuration_ratio,top_results_to_compare,auc,percision,similarity_between_fair_and_regular_predictions,fairness_score_of_fair_predictions,fairness_score_of_regular_predictions
0,random,1,0.2,6,0.8,0.33,0.32,0.87,0.46
0,random,1,0.2,7,0.8,0.33,0.32,0.87,0.46
0,random,1,0.2,8,0.8,0.33,0.32,0.87,0.46
0,random,1,0.2,9,0.8,0.33,0.33,0.87,0.46
0,random,1,0.2,10,0.8,0.33,0.34,0.88,0.46
0,random,1,0.25,1,0.8,0.35,0.11,0.96,0.41
0,random,1,0.25,2,0.8,0.34,0.2,0.91,0.44
0,random,1,0.25,3,0.8,0.34,0.18,0.93,0.45
0,random,1,0.25,4,0.8,0.34,0.18,0.93,0.45
0,random,1,0.25,5,0.8,0.33,0.17,0.94,0.45
0,random,1,0.25,6,0.8,0.33,0.17,0.94,0.46
0,random,1,0.25,7,0.8,0.33,0.18,0.94,0.46
0,random,1,0.25,8,0.8,0.33,0.19,0.94,0.46
0,random,1,0.25,9,0.8,0.33,0.2,0.94,0.46
0,random,1,0.25,10,0.8,0.33,0.21,0.94,0.46
0,random,2,0.05,1,0.79,0.38,0.92,0.64,0.6
0,random,2,0.05,2,0.79,0.37,0.92,0.62,0.58
0,random,2,0.05,3,0.79,0.38,0.93,0.62,0.58
0,random,2,0.05,4,0.79,0.37,0.92,0.62,0.57
0,random,2,0.05,5,0.79,0.36,0.87,0.64,0.56
0,random,2,0.05,6,0.79,0.35,0.86,0.66,0.57
0,random,2,0.05,7,0.79,0.34,0.84,0.68,0.58
0,random,2,0.05,8,0.79,0.34,0.84,0.69,0.58
0,random,2,0.05,9,0.79,0.33,0.84,0.7,0.59
0,random,2,0.05,10,0.79,0.33,0.84,0.7,0.6
0,random,2,0.1,1,0.79,0.38,0.84,0.68,0.6
0,random,2,0.1,2,0.79,0.37,0.81,0.68,0.58
0,random,2,0.1,3,0.79,0.38,0.81,0.68,0.58
0,random,2,0.1,4,0.79,0.37,0.75,0.7,0.57
0,random,2,0.1,5,0.79,0.36,0.73,0.72,0.56
0,random,2,0.1,6,0.79,0.35,0.73,0.73,0.57
0,random,2,0.1,7,0.79,0.34,0.72,0.75,0.58
0,random,2,0.1,8,0.79,0.34,0.71,0.76,0.58
0,random,2,0.1,9,0.79,0.33,0.71,0.77,0.59
0,random,2,0.1,10,0.79,0.33,0.71,0.77,0.6
0,random,2,0.15,1,0.79,0.38,0.74,0.73,0.6
0,random,2,0.15,2,0.79,0.37,0.58,0.8,0.58
0,random,2,0.15,3,0.79,0.38,0.56,0.8,0.58
0,random,2,0.15,4,0.79,0.37,0.54,0.81,0.57
0,random,2,0.15,5,0.79,0.36,0.54,0.81,0.56
0,random,2,0.15,6,0.79,0.35,0.56,0.82,0.57
0,random,2,0.15,7,0.79,0.34,0.57,0.82,0.58
0,random,2,0.15,8,0.79,0.34,0.57,0.83,0.58
0,random,2,0.15,9,0.79,0.33,0.58,0.83,0.59
0,random,2,0.15,10,0.79,0.33,0.58,0.84,0.6
0,random,2,0.2,1,0.79,0.38,0.61,0.8,0.6
0,random,2,0.2,2,0.79,0.37,0.47,0.85,0.58
0,random,2,0.2,3,0.79,0.38,0.41,0.88,0.58
0,random,2,0.2,4,0.79,0.37,0.37,0.9,0.57
0,random,2,0.2,5,0.79,0.36,0.36,0.91,0.56
0,random,2,0.2,6,0.79,0.35,0.38,0.91,0.57
0,random,2,0.2,7,0.79,0.34,0.4,0.91,0.58
0,random,2,0.2,8,0.79,0.34,0.42,0.91,0.58
0,random,2,0.2,9,0.79,0.33,0.44,0.91,0.59
0,random,2,0.2,10,0.79,0.33,0.45,0.9,0.6
0,random,2,0.25,1,0.79,0.38,0.29,0.96,0.6
0,random,2,0.25,2,0.79,0.37,0.28,0.95,0.58
0,random,2,0.25,3,0.79,0.38,0.29,0.94,0.58
0,random,2,0.25,4,0.79,0.37,0.28,0.94,0.57
0,random,2,0.25,5,0.79,0.36,0.28,0.94,0.56
0,random,2,0.25,6,0.79,0.35,0.3,0.95,0.57
0,random,2,0.25,7,0.79,0.34,0.31,0.95,0.58
0,random,2,0.25,8,0.79,0.34,0.32,0.95,0.58
0,random,2,0.25,9,0.79,0.33,0.33,0.96,0.59
0,random,2,0.25,10,0.79,0.33,0.34,0.96,0.6
0,random,3,0.05,1,0.76,0.34,0.93,0.65,0.61
0,random,3,0.05,2,0.76,0.35,0.89,0.69,0.63
0,random,3,0.05,3,0.76,0.34,0.85,0.69,0.6
0,random,3,0.05,4,0.76,0.33,0.86,0.68,0.6
0,random,3,0.05,5,0.76,0.33,0.85,0.68,0.58
0,random,3,0.05,6,0.76,0.32,0.85,0.68,0.57
0,random,3,0.05,7,0.76,0.32,0.86,0.67,0.58
0,random,3,0.05,8,0.76,0.32,0.88,0.66,0.58
0,random,3,0.05,9,0.76,0.31,0.89,0.65,0.58
0,random,3,0.05,10,0.76,0.31,0.89,0.66,0.58
0,random,3,0.1,1,0.76,0.34,0.78,0.72,0.61
0,random,3,0.1,2,0.76,0.35,0.76,0.76,0.63
0,random,3,0.1,3,0.76,0.34,0.75,0.75,0.6
0,random,3,0.1,4,0.76,0.33,0.76,0.74,0.6
0,random,3,0.1,5,0.76,0.33,0.76,0.74,0.58
0,random,3,0.1,6,0.76,0.32,0.75,0.74,0.57
0,random,3,0.1,7,0.76,0.32,0.76,0.74,0.58
0,random,3,0.1,8,0.76,0.32,0.78,0.74,0.58
0,random,3,0.1,9,0.76,0.31,0.77,0.74,0.58
0,random,3,0.1,10,0.76,0.31,0.76,0.75,0.58
0,random,3,0.15,1,0.76,0.34,0.44,0.9,0.61
0,random,3,0.15,2,0.76,0.35,0.6,0.84,0.63
0,random,3,0.15,3,0.76,0.34,0.64,0.81,0.6
0,random,3,0.15,4,0.76,0.33,0.61,0.82,0.6
0,random,3,0.15,5,0.76,0.33,0.61,0.82,0.58
0,random,3,0.15,6,0.76,0.32,0.62,0.81,0.57
0,random,3,0.15,7,0.76,0.32,0.63,0.81,0.58
0,random,3,0.15,8,0.76,0.32,0.63,0.81,0.58
0,random,3,0.15,9,0.76,0.31,0.63,0.82,0.58
0,random,3,0.15,10,0.76,0.31,0.62,0.82,0.58
0,random,3,0.2,1,0.76,0.34,0.24,1,0.61
0,random,3,0.2,2,0.76,0.35,0.33,0.97,0.63
0,random,3,0.2,3,0.76,0.34,0.39,0.93,0.6
0,random,3,0.2,4,0.76,0.33,0.43,0.91,0.6
0,random,3,0.2,5,0.76,0.33,0.44,0.9,0.58
0,random,3,0.2,6,0.76,0.32,0.44,0.9,0.57
0,random,3,0.2,7,0.76,0.32,0.45,0.9,0.58
0,random,3,0.2,8,0.76,0.32,0.46,0.9,0.58
0,random,3,0.2,9,0.76,0.31,0.46,0.9,0.58
0,random,3,0.2,10,0.76,0.31,0.47,0.89,0.58
0,random,3,0.25,1,0.76,0.34,0.23,1,0.61
0,random,3,0.25,2,0.76,0.35,0.27,1,0.63
0,random,3,0.25,3,0.76,0.34,0.28,0.99,0.6
0,random,3,0.25,4,0.76,0.33,0.28,0.98,0.6
0,random,3,0.25,5,0.76,0.33,0.28,0.98,0.58
0,random,3,0.25,6,0.76,0.32,0.29,0.97,0.57
0,random,3,0.25,7,0.76,0.32,0.32,0.96,0.58
0,random,3,0.25,8,0.76,0.32,0.35,0.96,0.58
0,random,3,0.25,9,0.76,0.31,0.37,0.95,0.58
0,random,3,0.25,10,0.76,0.31,0.37,0.95,0.58
0,random,4,0.05,1,0.8,0.28,0.94,0.55,0.52
0,random,4,0.05,2,0.8,0.31,0.93,0.65,0.61
0,random,4,0.05,3,0.8,0.33,0.9,0.69,0.63
0,random,4,0.05,4,0.8,0.33,0.88,0.71,0.63
0,random,4,0.05,5,0.8,0.33,0.9,0.71,0.63
0,random,4,0.05,6,0.8,0.33,0.89,0.72,0.63
0,random,4,0.05,7,0.8,0.33,0.87,0.72,0.62
0,random,4,0.05,8,0.8,0.33,0.87,0.72,0.62
0,random,4,0.05,9,0.8,0.33,0.87,0.72,0.61
0,random,4,0.05,10,0.8,0.32,0.87,0.72,0.61
0,random,4,0.1,1,0.8,0.28,0.83,0.62,0.52
0,random,4,0.1,2,0.8,0.31,0.79,0.73,0.61
0,random,4,0.1,3,0.8,0.33,0.79,0.75,0.63
0,random,4,0.1,4,0.8,0.33,0.8,0.76,0.63
0,random,4,0.1,5,0.8,0.33,0.8,0.77,0.63
0,random,4,0.1,6,0.8,0.33,0.79,0.78,0.63
0,random,4,0.1,7,0.8,0.33,0.77,0.79,0.62
0,random,4,0.1,8,0.8,0.33,0.77,0.8,0.62
0,random,4,0.1,9,0.8,0.33,0.76,0.8,0.61
0,random,4,0.1,10,0.8,0.32,0.76,0.8,0.61
0,random,4,0.15,1,0.8,0.28,0.75,0.69,0.52
0,random,4,0.15,2,0.8,0.31,0.7,0.79,0.61
0,random,4,0.15,3,0.8,0.33,0.69,0.81,0.63
0,random,4,0.15,4,0.8,0.33,0.68,0.83,0.63
0,random,4,0.15,5,0.8,0.33,0.69,0.83,0.63
0,random,4,0.15,6,0.8,0.33,0.69,0.84,0.63
0,random,4,0.15,7,0.8,0.33,0.68,0.84,0.62
0,random,4,0.15,8,0.8,0.33,0.67,0.85,0.62
0,random,4,0.15,9,0.8,0.33,0.66,0.85,0.61
0,random,4,0.15,10,0.8,0.32,0.66,0.86,0.61
0,random,4,0.2,1,0.8,0.28,0.68,0.76,0.52
0,random,4,0.2,2,0.8,0.31,0.63,0.84,0.61
0,random,4,0.2,3,0.8,0.33,0.6,0.87,0.63
0,random,4,0.2,4,0.8,0.33,0.59,0.88,0.63
0,random,4,0.2,5,0.8,0.33,0.59,0.89,0.63
0,random,4,0.2,6,0.8,0.33,0.6,0.89,0.63
0,random,4,0.2,7,0.8,0.33,0.59,0.89,0.62
0,random,4,0.2,8,0.8,0.33,0.59,0.89,0.62
0,random,4,0.2,9,0.8,0.33,0.58,0.9,0.61
0,random,4,0.2,10,0.8,0.32,0.57,0.9,0.61
0,random,4,0.25,1,0.8,0.28,0.52,0.92,0.52
0,random,4,0.25,2,0.8,0.31,0.52,0.92,0.61
0,random,4,0.25,3,0.8,0.33,0.51,0.94,0.63
0,random,4,0.25,4,0.8,0.33,0.52,0.93,0.63
0,random,4,0.25,5,0.8,0.33,0.52,0.93,0.63
0,random,4,0.25,6,0.8,0.33,0.51,0.94,0.63
0,random,4,0.25,7,0.8,0.33,0.5,0.94,0.62
0,random,4,0.25,8,0.8,0.33,0.5,0.94,0.62
0,random,4,0.25,9,0.8,0.33,0.5,0.94,0.61
0,random,4,0.25,10,0.8,0.32,0.49,0.95,0.61
0,random,5,0.05,1,0.8,0.22,0.96,0.69,0.67
0,random,5,0.05,2,0.8,0.23,0.9,0.68,0.61
0,random,5,0.05,3,0.8,0.23,0.87,0.69,0.61
0,random,5,0.05,4,0.8,0.24,0.86,0.69,0.59
0,random,5,0.05,5,0.8,0.24,0.86,0.68,0.58
0,random,5,0.05,6,0.8,0.24,0.85,0.67,0.57
0,random,5,0.05,7,0.8,0.24,0.84,0.67,0.56
0,random,5,0.05,8,0.8,0.25,0.83,0.67,0.55
0,random,5,0.05,9,0.8,0.25,0.83,0.68,0.55
0,random,5,0.05,10,0.8,0.25,0.82,0.68,0.55
